ownership  size,No more than 1 year,Up to 20 years,Up to 50 years,Up to 100 years,simple WTA,WTA 20 yr contract,WTA 50 yr contract,WTA 100yr contract
<20 acres,$19.45,$27.77,$39.64,$56.60,$52.62,$75.13,$107.27,$153.15
20-99 acres,$13.73,$19.60,$27.99,$39.96,$37.15,$53.04,$75.73,$108.12
100-249 acres,$9.69,$13.86,$19.76,$28.21,$26.23,$37.44,$53.46,$76.33
250-1000 acres,$6.84,$9.77,$13.95,$19.91,$18.51,$26.43,$37.74,$53.88
>1000 acres,$4.83,$6.90,$9.85,$14.06,$13.07,$18.66,$26.64,$38.04
average,$10.91,$15.58,$22.24,$31.75,$29.52,$42.14,$60.17,$85.90
95%CI low,$8.26,$11.80,$16.84,$24.04,$22.35,$31.91,$45.55,$65.04
95% CI high,$14.41,$20.58,$29.37,$41.93,$38.99,$55.66,$79.47,$113.46
