ownership  size,No more than 1 year,Up to 20 years,Up to 50 years,Up to 100 years,simple WTA,WTA 20 yr contract,WTA 50 yr contract,WTA 100yr contract
<20 acres,$77.79 ,$111.06 ,$158.57 ,$226.40 ,$210.48 ,$300.52 ,$429.06 ,$612.59 
20-99 acres,$54.92 ,$78.41 ,$111.94 ,$159.83 ,$148.59 ,$212.15 ,$302.90 ,$432.46 
100-249 acres,$38.77 ,$55.45 ,$79.03 ,$112.83 ,$104.90 ,$149.77 ,$213.83 ,$305.30 
250-1000 acres,$27.37 ,$39.08 ,$55.79 ,$79.65 ,$74.05 ,$105.73 ,$150.96 ,$215.53 
>1000 acres,$19.32 ,$27.59 ,$39.39 ,$56.23 ,$52.28 ,$74.64 ,$106.57 ,$152.16 
average,$43.63 ,$62.32 ,$88.94 ,$126.99 ,$118.06 ,$168.56 ,$240.66 ,$343.61 
95%CI low,$33.04 ,$82.31 ,$117.48 ,$167.73 ,$155.94 ,$127.62 ,$182.21 ,$260.15 
95% CI high,$57.63 ,$47.18 ,$67.34 ,$96.14 ,$89.38 ,$222.64 ,$317.88 ,$453.85 
